asin,n_obs,mae,rmse,r2,mape
B07YVMJFB9,145,8.531230330368569,19.266075263395045,0.9892257310506453,5.63129015503714
B01J4KU2UO,212,9.937197678943852,19.632083948003736,0.9867679402004502,8.263154665836856
B004R4N2B4,206,8.06169166389021,19.70307198006125,0.9910130580462359,6.343946244918398
B00ECDM78E,213,7.730527336675795,19.840648792545938,0.9833366552566878,5.922027518482976
B00VBUGPW0,213,7.731201927650701,19.898692027971588,0.9853772931984075,5.341425902641298
B01156N5QI,213,8.992798917797248,19.899549619201032,0.9883770569440612,6.151859893855352
B09JWQH8XG,211,9.10867997707349,19.94216101493174,0.9894892825383769,6.532263946240577
B07K5214NZ,213,9.141257801055907,19.95117364134238,0.9877776751674049,6.553934057881157
B00Q6P4CMA,213,7.9205224586092795,19.95505362982252,0.9888486875482371,5.410890257563118
B015WBVKN2,213,8.577007663529804,20.072822361242775,0.9880692292693337,5.171144139991153
B01MT1T425,213,9.83678506806423,20.082565556272385,0.9897491600339137,6.683452168266885
B006T9ZKAQ,213,8.060782587024528,20.150938508648366,0.9828771268880243,6.160829340238543
B01018DC96,202,8.92197259931281,20.189668648105066,0.9887036126694445,5.6203531141163285
B0BW2LVJ4P,213,10.071433601021207,20.34608966193238,0.9820163907947984,7.049924026829866
B0GPY9PKD6,15,13.65215770848592,20.511894697891154,0.9867628914126846,10.068736155878723
B09QGR8FM7,213,10.288702602655114,20.618015923244283,0.9882386831883757,6.972163127004502
B07Q8WH9TX,213,9.926332711322765,20.6182061537568,0.9829143940507372,7.502247160568612
B07HH1QSLB,206,9.668912597952538,20.620917627717766,0.9874614745872351,6.841436044032166
B09NBVS84T,213,9.66453865176635,20.66647977162567,0.9899026331474796,6.4673180082560355
B07RZXSJBM,213,8.842268672996841,20.727101705157654,0.9914694868170135,6.3514339644351745
B0CQ1CVW3Z,213,9.514997799564416,20.74829089914248,0.9834134946687921,6.242215247725442
B00NJ2M33I,213,8.077860497756744,20.8980514015042,0.9845861826793169,4.930181137461212
B08N67H3CK,213,10.377655583323447,20.901756971322452,0.9823860256513592,7.8350437937100645
B06XFTWCBJ,212,9.679256536645708,21.05215979035714,0.9852058273419185,6.894226135238226
B08J7QWJ91,213,11.23855626845024,21.059843540421046,0.9924755959570216,8.909652226427253
B0C1QNRGHC,213,9.391718250417934,21.0916226130806,0.9879726274240074,7.4888143267242056
B06XVZ6Y4T,211,9.92488549589546,21.15555484165852,0.984836817417351,7.353108453809569
B0G39X5N25,68,8.82767616075628,21.180269871854403,0.9845868698075394,6.153082243258807
B071S84ZW7,204,9.36054666893155,21.234888300371793,0.9841034360776556,6.7637823553139835
B09ZRN1N3Z,212,10.03483799079679,21.38869152314877,0.9793247604516796,6.745085009755214
B00FRODUR4,213,7.852709585736055,21.53906955036949,0.9832623237399467,5.002802225728164
B0081SRIFS,213,8.100893039524275,21.724738074021758,0.9855826581221397,5.639844332645797
B0C6FTSYQ9,213,10.029367706316735,21.79553501665941,0.9845200276235,7.0862957436010525
B0FW4H14LB,100,10.45697891597748,21.806653595952085,0.9834385340955286,6.854355610830313
B019Z81V3M,213,8.608213854955396,21.8701322759079,0.9824697425679942,6.358751822086874
B0F5QPF2YC,213,9.260633270729317,21.96448217579531,0.9718667830526777,6.220135642553213
B096SRYXMP,213,11.301570264252137,22.004150742244082,0.9887667113566186,7.726851438575608
B084S7BP3Z,213,9.74474392420809,22.020262014347242,0.9914751815284073,7.547138722594959
B00DOMYL24,211,9.205618052640796,22.150011082786545,0.9824079263610579,6.186865655978183
B07Z5DZM31,213,10.811519352192052,22.186362003438564,0.9770935333098353,7.730881012882572
B08VM9JN7H,200,11.175081887054443,22.231051919256522,0.9894073373581332,8.041579171447676
B0828BJGD2,213,11.525828688446904,22.27461972141265,0.9858452991062848,7.249876282292779
B072WC1MXT,213,9.523742567519065,22.424914429979374,0.9794936921304589,6.104423427381435
B0916TKFF2,213,9.931344793704751,22.507235643922836,0.9807181473712329,7.2729044374718725
B09VM2TBZF,203,10.383653315746137,22.517601485109527,0.9865682742292506,6.418857606927214
B00KZP1BUI,213,9.005414980140651,22.597441705621385,0.9800504032579204,6.744430356811717
B09ZVJR768,213,10.216141994906142,22.638231131170997,0.9821258257970149,6.739987482582066
B0C2F5KD26,211,9.54032533139414,22.700750902863778,0.9883759705150433,6.492214269606132
B0787WGCXT,213,8.720620780998551,22.87049653020426,0.9839462221345211,6.07380339718612
B0CTJR2C5X,213,10.073617864528172,22.941904846100115,0.985296272336557,6.873932835165371
B0CG19FGQ5,207,10.626965385381729,22.950911493613102,0.9896015958577675,7.530883821237958
B075LT8YLR,209,8.40615116420545,23.030861416784465,0.9873189765218711,5.590074441082778
B088D8JG3L,213,11.832676991476138,23.140805219012638,0.9749854978502529,11.280455823013904
B07KFDS3PT,206,9.346722308408868,23.19207045742689,0.9844566781408874,6.374039046551023
B0BT2V6KNM,213,9.922129446128165,23.239995989778226,0.9859456725451653,7.035581600829515
B0846VRJV8,213,12.10629592053767,23.34865485486381,0.9817365993601114,9.735102827894222
B0BYNVS3RP,213,10.657575661475668,23.364338096762495,0.9796553720853131,7.537701171035172
B07BDQQVN2,209,8.718334221817088,23.488819892591387,0.9832695884175413,5.381357756914432
B0DS2B3P2B,213,8.834723041516515,23.764318950119485,0.9749264755098405,6.414883089307328
B088Z22VYF,213,10.46362034793191,23.769910111445046,0.9781782666794417,9.971018496895667
B0BQZBMXD4,213,10.529737406627671,23.84640000004647,0.9887406093712741,6.268373424567993
B0BVVMVHSY,213,10.064638435113036,24.017144855501215,0.9697617320348142,7.142940966114236
B078MBL6KM,213,8.670957045846142,24.19723296569363,0.9868096019640419,5.998214082617857
B0BWNYBRNL,210,11.105413523719424,24.23405943983753,0.9785815532193307,7.478123265068176
B0GQVF4SV7,18,11.224438995785183,24.282518922330663,0.9660749748473394,6.946938490779203
B09YLFHFDW,209,10.623117359289141,24.32721146531095,0.9804655711633841,6.51155434466356
B07SHFPD8S,213,11.279009797270868,24.33511824473292,0.9809038634219929,7.580129736888253
B0758CVS43,213,9.420487689971925,24.352134166570444,0.9854526096119576,5.784726555469232
B0DTTMYBRH,213,10.946102315338564,24.400225304850107,0.9768370728655228,6.89852719008895
B071DGMNMX,12,15.60789136250814,24.488239602240558,0.9928297225507126,6.109084324661818
B0093162RM,213,8.277254166401606,24.57978951303792,0.9847585685109412,5.634170070323984
B07FTHL5PF,213,10.052936764121613,24.595389663895002,0.9806761766221785,6.843293586844658
B083BT3VXZ,87,11.512141825577306,24.60309985087597,0.9668809224514092,8.996236493450388
B0BGM5XPQZ,213,9.021165493889033,24.699182000354845,0.9759618262345482,6.0907572925733735
B0CPHW5JQY,198,10.002029602359038,24.70108841514917,0.9738267038738869,6.81287333707087
B08WJ26WP6,213,11.220416663801167,24.7190978365035,0.9774592095824749,8.289054183214946
B0CT9XTKKM,213,10.118223375311478,24.78087456326345,0.9860807933384181,6.433623356607102
B088KRPCQJ,213,12.892969428407193,24.81477768498787,0.9640786090629822,11.658622305365865
B0DHVH5KCB,206,10.442891711540593,24.845366897490575,0.9718387499838375,6.254793818528325
B0FCLJD9M4,205,10.78579942377602,25.00591499006347,0.9755816994568514,7.872673885309609
B0CDC6H66Y,210,11.206635893594651,25.156143515897256,0.9813955192807712,6.687436036877448
B08LF1F981,213,10.484548043354016,25.21600288607286,0.9865819583490164,7.548822654776194
B08L6ZYW21,213,11.071879143423876,25.342229713035014,0.9675614696984801,8.927622978187804
B0B5MC3G1Y,213,10.534016017645179,25.35109520420096,0.9808155106446753,6.499288645841367
B08D1VF18M,213,12.793143833858865,25.353309491298553,0.9843867219509405,9.772800925392948
B09LYF2ST7,213,12.80356711239882,25.39579999866909,0.9855030160938291,7.068140373981119
B0FDDJ2NWB,213,11.944837743911386,25.459016722137385,0.9712500047288612,8.550560821234725
B08G84P8ZX,198,11.387811702959464,25.482165051714873,0.9723907139460435,8.798922890549614
B0DN45YMP6,213,11.430559440845617,25.545411303107755,0.9742114802035478,7.244773722365918
B08D6R7GQ7,213,10.033473275771163,25.6746896096131,0.9676950804343918,9.60021634710017
B0CQXHLJ81,89,10.471976176486926,25.749585911268603,0.9654296765659414,6.006636638477613
B01D5H8JW0,213,12.054254649793599,25.751944241387076,0.9679557970350782,10.137106901481419
B0FG8XLBJ6,208,10.358348581882625,25.800724538275766,0.9770801156263671,7.601731279299898
