asin,category,brand,global_min,global_max,global_norm_sd,log_mean_price
B0828BJGD2,172282,Apple,142.97,258.0,0.028064399464560418,5.523435817527338
B08LCPKS6G,172282,ASUS,140.2,295.89,0.13407668239399026,5.349703051271178
B091BD6KJR,172282,Samsung,5.98,16.18,0.31505540646554947,2.188968366207078
B09JWQH8XG,172282,Amazon Basics,19.99,39.96,0.1310661240044477,3.377735181675439
B0DZL719V1,172282,Alienware,269.99,399.99,0.09256023311524407,5.920161633751237
B015WBVKN2,172282,AILIHEN,14.51,16.99,0.062027692044989875,2.8503210707801334
B06XFTWCBJ,172282,Sony,32.99,72.99,0.08582309942318427,3.832975172173786
B07BB5FDS2,172282,KODAK,49.0,79.99,0.14090219371976295,4.071168178102811
B0811Q28N6,172282,WOLFBOX,139.99,149.99,0.02781453379394077,4.963515733690945
B0CT9PYXGY,172282,JBL,19.95,25.34,0.08268525267566329,3.2173746987419336
B0DGWNRBZJ,172282,Apple,183.0,298.0,0.12176693728197167,5.517054079139273
B0FWCXJVHN,172282,Apple,799.91,999.0,0.04968874679886644,6.816009919467157
B000AJIF4E,172282,Sony,74.99,113.0,0.06206503990158373,4.512221673688699
B075LT8YLR,172282,Panasonic,9.99,43.44,0.21537047225200812,3.0036708289290854
B0DCLFYFSR,172282,GoPro,499.99,649.99,0.07715404511352887,6.349925775125718
B01156N5QI,172282,MAJOR,4.88,8.65,0.17802311085065975,2.0755052331440296
B09YDS8BHK,172282,JBL,299.95,499.95,0.10229211499275587,6.022189538773927
B0BW2LVJ4P,172282,Sonos,169.0,249.0,0.09874807723077368,5.437244256094123
B0CRGJC5ZD,172282,Samsung,199.99,449.99,0.09709497311832341,5.692776791223941
B0DDM7PFLW,172282,Garmin,89.99,149.99,0.11729816412978858,4.895772715026766
B0DVH6N98L,172282,JBL,18.95,29.95,0.06477645546559363,3.0319034698588188
B0DWCRXZF2,172282,Skullcandy,8.99,14.99,0.17836031498716567,2.6382053184051197
B0G6HLWS6Q,172282,Sony,298.0,329.99,0.03556610638687937,5.782788747981268
B0000BYBVT,172282,BAYCO,3.71,20.05,0.3407864185888627,2.538843762062238
B00KZP1BUI,172282,Mount-It!,14.99,16.99,0.029595866219291573,2.8823769212247594
B0D6354JRF,172282,Life360,52.99,79.99,0.047227878905598944,4.2857349271331175
B083BT3VXZ,172282,PALOVUE,20.99,24.0,0.04539425952907441,3.1927029505641773
B08VM9JN7H,172282,Sceptre,149.97,427.49,0.256226705630317,5.627575431800609
B09VMJM5RD,172282,VELCRO Brand,7.76,15.73,0.07944665364707217,2.513377957582759
B07Z5DZM31,172282,Philips,11.89,20.92,0.1181754991073551,2.783729088793903
B0CNXKKRPH,172282,KODAK,59.99,59.99,0.0,4.110709916308365
B0DGHYQ1VJ,172282,Apple,199.0,399.99,0.11538030354877822,5.882421150481882
B0F1K9WXH8,172282,BGAVENROL,14.99,14.99,0.0,2.771963526845863
B0FDKR4RVP,172282,Bose,199.0,299.0,0.1356653944487526,5.570205659754681
B001E1Y5O6,172282,VELCRO Brand,3.99,18.98,0.17825307144673874,2.433104889808374
B07ZYR8F2W,172282,MOUNTUP,16.56,32.99,0.1580371780432846,3.2811425366306928
B0D9R2KDY9,172282,Sony,38.0,69.99,0.13040447946704023,4.04505854864394
B0F1PQD5GW,172282,PIONEER,34.99,49.17,0.12679040282393322,3.7250506504187637
B0FC3XV5DK,172282,Jabra,89.69,172.0,0.1741224020462265,4.775179451083127
B016P0BVH4,172282,KontrolFreek,14.99,25.12,0.1810909665963963,2.9450528258117514
B01LW8V8CD,172282,Skar Audio,69.45,139.99,0.1319209629639713,4.418119773451818
B06Y4FJD33,172282,WALI,14.99,16.86,0.05639297271839089,2.8391954157337636
B081CHLF46,172282,JALL,28.88,42.98,0.162678424893308,3.6449275665847534
B0CPHW5JQY,172282,AOC,139.99,203.99,0.08484088148107927,5.174385234296833
B0DS2TCW9L,172282,LG,196.99,379.99,0.14021457835669232,5.743198124215059
B0734S1YBS,172282,Otium,14.93,32.62,0.1329787417022272,3.047212908668816
B09B27J11J,172282,Ankilo,10.92,16.13,0.09209943278692755,2.76178654056947
B0B1MGSLLW,172282,ViewSonic,68.65,125.86,0.09292131891875681,4.572516457507449
B0C1QWWZR4,172282,JBL,39.95,109.95,0.2768101358431394,4.272324744867622
B0DCJRW7BB,172282,BuonaIdea,39.97,91.2,0.20572412926348055,3.9300935282114424
B0DSG9VCRH,172282,Garmin,299.99,399.99,0.06590174997922095,5.952421304692324
B0DYVRJJY4,172282,Hisense,259.99,463.74,0.1157181616520736,5.789327962940967
B0F2KLX2T3,172282,HP,107.98,269.99,0.14137568034212813,5.219696663219928
B0F5RHB9MZ,172282,AOC,79.99,99.25,0.056246067272257776,4.4667930290357125
B0BX4P4MT3,172282,Panasonic,64.92,123.99,0.10154175825302451,4.4271631969348775
B0DSK2MB15,172282,Sennheiser,179.95,329.95,0.11836057148529885,5.606898126703607
B01J6XXR38,172282,GEARit,29.88,49.98,0.15176086388774232,3.6880385834398823
