asin,category,brand,global_min,global_max,global_sd
B0FDDK85Q9,172282,Samsung,353.77,575.98,45.35762924870325
B0FX2WY9VC,172282,FUHAYA,9.99,9.99,0.0
B01D5H8P0G,172282,Amazon Basics,6.29,10.81,1.0554261761887145
B0916TKFF2,172282,Roku,19.99,39.99,4.217623366893674
B0B4MWCFV4,172282,Fitbit,104.96,229.95,20.467311483490167
B0C2F5KD26,172282,Skullcandy,14.99,33.94,3.3500556570489164
B0D1XNYKD5,172282,Amazon Basics,5.27,16.42,2.0340800155587027
B0DB9Q5G3R,172282,Samsung,99.99,179.99,24.315075257503942
B0DHVH5KCB,172282,TOZO,24.99,39.99,7.500000000000002
B0DK9R9GCB,172282,TR Industrial,25.98,27.98,0.8660254037844386
B0G6LZ2TVK,172282,Skullcandy,99.99,209.99,28.663524030189276
B01MFCFKG5,172282,RunningSnail,15.39,24.9,2.8812445542518423
B07431YDWM,172282,SYNCWIRE,6.89,7.99,0.4400000000000002
B08G84P8ZX,172282,Tonmom,8.99,8.99,0.0
B0BW9PMS1C,172282,Polaroid,45.56,59.99,4.168242780574038
B0D5B6DWSS,172282,TIPSEAN,6.49,6.49,0.0
B0D83J6JJ9,172282,CMF BY NOTHING,59.0,76.81,5.707740221620112
B0DK44759Y,172282,Samsung,99.99,149.99,11.907789135252328
B0FJTNB8VF,172282,Skullcandy,41.99,59.99,7.156970184527963
B0G49SZ24N,172282,Dell,119.99,149.99,7.6697023454598465
B00Q6P4CMA,172282,Sony,6.95,14.99,1.7662182783904188
B01LMVIS18,172282,AKASO,72.53,99.99,5.272147259855324
B07595G6H7,172282,PIONEER,26.0,60.0,6.167247750947901
B0D1YNVD88,172282,Samsung,129.99,299.99,48.36640657871745
B0DWC512JJ,172282,Skullcandy,74.99,129.99,8.007969442650197
B0GSXKB9XS,172282,Apple,608.0,608.0,0.0
B00FRODUR4,172282,Cablelera,4.09,14.36,1.4640293356727534
B0C1QNRGHC,172282,JBL,39.95,99.95,22.040487639363118
B0D1XKVS39,172282,Amazon Basics,5.89,17.09,1.8549839958878351
B0DM5D9VPH,172282,GAXIWILO,16.98,16.98,0.0
B0DQSJ4QHB,172282,Amazon Basics,18.04,21.99,1.3533159276384796
B0F25C5257,172282,Fujifilm,17.49,19.99,0.2445512528138704
B0FC55R7WK,172282,Sceptre,87.97,152.61,19.111994124671757
B08CYSS969,172282,KODAK,95.99,149.99,9.942931769181934
B09QGR8FM7,172282,SMALLRT,18.97,92.7,15.745200858311943
B0D7BWV74T,172282,Deeyaple,19.98,29.58,1.9638333500100758
B01AQ6OWAG,172282,Samsung,5.99,31.56,9.589187638112094
B07Q1GHB5X,172282,Hontry,19.95,34.08,4.629305455465216
B084S748F9,172282,Polaroid,28.14,40.99,2.340322717009029
B08WJ26WP6,172282,Amazon Basics,49.55,153.74,19.79088909345346
B0DK3YM6KP,172282,Apple,499.0,649.0,40.12105924149713
B0FPGQGW2K,172282,Beats,169.95,199.99,5.018547777944515
B0FQFHVZYL,172282,Apple,679.0,799.0,29.49110125775336
B0GPYB3V3F,172282,Samsung,429.99,529.99,45.25966747557918
B00846E7JW,172282,D-Line,16.49,21.06,1.2614895347226716
B00LM2Y2U4,172282,UGREEN,6.99,7.99,0.4330127018922193
B01N0782B3,172282,YINYOO,20.99,34.95,3.440334229311886
B07KFDS3PT,172282,PERLESMITH,21.99,57.93,5.212851003973612
B0C2Y6WXJ7,172282,SUVCON,46.65,69.99,5.655028294960441
B0C8ZJNZY8,172282,Philips,89.99,129.99,8.379192724363019
B0CFCQVZS6,172282,Skullcandy,17.99,34.99,3.6610725427336224
B0CJYL1Q9S,172282,Samsung,53.13,118.99,11.945349096473198
B00QQH66AO,172282,Mounting Dream,20.64,91.14,8.262760073566781
B00ZFQQJ18,172282,Fujifilm,11.0,24.99,1.9520537045118096
B0BPLRX32S,172282,Cinati,17.41,23.51,2.2088041998638333
B0BVGKQGL5,172282,Gabba Goods,24.19,24.2,0.004999999999999005
B0CQ1HP3RX,172282,JBL,19.95,59.95,9.002838162271782
B0CRGJC5ZD,172282,Samsung,199.99,367.49,28.15759509084427
B0DVJ99L1L,172282,Skullcandy,139.99,259.99,22.37472119476354
B072WC1MXT,172282,SunplusTrade,14.58,14.58,0.0
B07J4WHNFC,172282,Panasonic,7.5,11.99,0.7436874001910654
B092Q99N22,172282,TESSAN,29.99,34.99,2.238008166999299
B0CCYKVVRH,172282,Belkin,17.81,33.99,3.6302340741186727
B0CT9XTKKM,172282,JBL,79.95,155.95,17.636458268710825
B0DT2M5XC6,172282,Apple,143.65,206.46,11.791492182323765
B0DZ619WZN,172282,Amazon Basics,89.99,104.0,4.005219202412646
B0F3PT1VBL,172282,Sony,398.0,459.99,19.243578610371927
B0F94KYCQX,172282,Amazfit,114.99,149.99,11.411597558911929
B07588K6PB,172282,Amazon Basics,26.89,75.18,12.048015293297134
B083WNRH45,172282,Deluxe Products,15.4,37.64,2.7246269364736633
B08PJ4KQ1G,172282,JBL,39.95,79.95,12.807121600553264
B092RCLKHN,172282,Garmin,149.0,199.99,15.34376155797551
B0BW9QN2XN,172282,Polaroid,24.0,54.95,4.057602923407439
B0D79QCMF5,172282,Google,160.55,229.0,21.621042731013514
B0D8BT4BRN,172282,Bose,129.0,179.99,13.363826053746076
B0FGYDF3DD,172282,Samsung,109.99,149.99,10.344896295275273
B0FHLPYS84,172282,Hisense,218.99,402.42,58.80463551659123
B0FYHP42P3,172282,OURA,99.0,99.0,0.0
B000FPDKPM,172282,Woods,4.64,36.95,3.902407351329366
B082WG5VTK,172282,UGREEN,7.91,9.99,0.9218260493748929
B0B49JWRBZ,172282,SANSUI,69.98,104.72,7.436593270490153
B0CF7GYNW2,172282,Samsung,52.24,99.99,12.602977423185244
B0CG19FGQ5,172282,DJI,569.0,979.99,104.4428654804781
B0F7M3HPBD,172282,Bose,199.99,299.0,28.306087186402795
B0FFF4C3HL,172282,Sceptre,89.97,161.05,13.07620928116962
B0FQPJXQB3,172282,LG,1556.99,2393.98,145.73516588252528
B0GGRKQ494,172282,Dell,119.98,149.99,12.187708717678738
B09QSY9B7J,172282,VELCRO Brand,9.98,18.88,1.1800921148398076
B0CCQDXJC1,172282,Sceptre,129.97,249.97,26.79242955970582
B0CQXG17RL,172282,Soundcore,41.98,69.99,8.897877554885687
B0DRM949PC,172282,JBL,29.95,44.95,6.462796498439892
B0FCLRG225,172282,Soundcore,179.99,229.99,12.503516665085979
B006T9ZKAQ,172282,Koss,2.07,9.24,0.9964287192707469
B096SRYXMP,172282,Beats,79.0,149.99,23.004846353343556
B0DS2DF5S5,172282,DJI,309.0,356.16,6.815027382252417
B0DTTKX1TK,172282,Polaroid,129.99,159.99,11.27788932696976
B0FD49H754,172282,Samsung,1267.98,1995.98,166.82765271128812
B0FDKR293G,172282,Bose,379.0,449.0,24.550388354553068
B0GD1LMWH3,172282,Dell,186.98,229.99,13.060080495579669
B0170RBJ9Q,172282,Sephia,11.99,30.89,6.8417181265133165
B09YLFHFDW,172282,Sony,18.0,38.0,4.178087988317026
B0B6GHW1SX,172282,Sennheiser,187.38,429.99,32.387438428359935
B0B82JNP9P,172282,Avantree,19.99,19.99,0.0
B0BW43GXM2,172282,WALI,27.75,54.99,5.007935011525916
B0F38GK1QZ,172282,Garmin,246.95,299.99,19.166623873451773
B0F5CZ1B4G,172282,kate spade new york,20.99,30.0,3.746249582916226
B0F9YXSGHQ,172282,COMPLY,23.99,29.99,1.093735037704843
B0FDLD34V5,172282,Bose,99.0,129.0,12.098380120628129
B09X1CGHX6,172282,Beats,174.0,224.95,17.666266828519976
B0BS1T9J4Y,172282,Garmin,299.99,449.99,37.58883264767363
B0D5KP3KDD,172282,Hisense,159.99,258.81,16.712437782841036
B0D6354JRF,172282,Life360,52.99,79.99,3.3837542828345186
B0D637HWC5,172282,Life360,21.36,34.99,4.731451248524048
B000JJI6XA,172282,Belkin,7.0,25.94,3.6790148314663518
B000N99BBC,172282,TP-Link,9.99,21.97,1.81121488425162
B07MTRQ6B3,172282,Sceptre,86.08,296.0,42.04186295409412
B096MJ9LYK,172282,Polaroid,14.99,21.99,1.9152019455163258
B0FWD4VCFC,172282,Apple,1799.0,1999.0,62.20022213092244
B019Z81V3M,172282,Ginsco,6.99,11.99,1.7744504445504499
B07FTHL5PF,172282,Emerson,9.99,66.99,7.222173301228388
B0B4N7LSM6,172282,Fitbit,169.99,299.95,32.44842212002353
B0CK3TG7P6,172282,Alienware,369.99,649.99,62.84478359724526
B0CLF2DNMV,172282,Samsung,169.99,278.99,28.663171692870584
B0FC5Q65J8,172282,Panasonic,29.99,39.99,2.7041288595199933
B0GR131YD5,172282,Apple,1319.0,1338.0,8.374038969121262
B010OYASRG,172282,Cambridge Soundworks,17.83,63.1,8.13097513597829
B078MBL6KM,172282,PERLESMITH,15.49,53.89,6.827862188820948
B0FD82CLZ4,172282,Shure,1176.0,1308.0,31.211020330688402
B07Q7DM9HP,172282,Amazon Basics,8.48,21.37,2.3964993816580216
B07YPXLCDV,172282,JBL,37.95,37.95,0.0
B084S7P9RB,172282,Polaroid,12.99,19.36,1.5479978754825245
B093GCL18V,172282,ARZOPA,57.14,159.0,21.685001136574282
B0C1KPXPM9,172282,Samsung,196.99,379.99,35.58740605813362
B0044ABZWE,172282,KODAK,26.97,32.67,1.5312658636361798
B07SXVJFYN,172282,HP,59.99,149.95,12.937208004855941
B087JVV8FK,172282,ARTIX,30.94,39.95,2.494083309666211
B088KRPCQJ,172282,Bose,163.45,279.0,35.51311110659207
B09YDS8BHK,172282,JBL,299.95,499.95,42.09123622815228
B0CG19QXWD,172282,DJI,420.0,799.0,120.9792522817818
B0CK43H363,172282,Apple,308.0,518.0,49.598058030978365
B0D4SX9RC6,172282,Beats,88.99,149.99,17.583554093172417
B0DW9BXCYW,172282,JBL,49.95,89.95,8.618698755217897
B01D5H8JW0,172282,Amazon Basics,5.31,10.3,0.8697227863112384
B08NP57YRG,172282,Mifaso,24.39,51.99,2.9185085775668087
B09JWSDQDK,172282,Amazon Basics,21.92,50.21,3.7628326686236306
B09M94KXPN,172282,Apple,114.99,169.0,25.14613334535197
B09ZVJ8DSN,172282,VELCRO Brand,13.44,20.19,1.382559272752271
B0BFJ9WY5J,172282,KODAK,128.0,205.63,12.472122900334144
B0BQPW9R9H,172282,JBL,59.95,109.95,11.073621406647904
B0C3PRBJGJ,172282,JBL,49.7,49.7,0.0
B0C6KFZC9Z,172282,Soundcore,64.99,99.99,12.058936614968442
B0DGJ73CFS,172282,Apple,129.0,249.99,33.35944197742749
B0DYW81FWH,172282,Hisense,529.96,999.99,105.26510387690533
B091BD6KJR,172282,Samsung,5.98,16.18,2.4971291516459453
B0F1K9WXH8,172282,BGAVENROL,14.99,14.99,0.0
B0000BYBVT,172282,BAYCO,3.71,20.05,3.975279954607222
B000AJIF4E,172282,Sony,74.99,113.0,5.59355224272584
B01156N5QI,172282,MAJOR,4.88,8.65,1.2405667638993116
B017K17PQ8,172282,TotalMount,13.54,19.98,1.6592824611000638
B07G95FFN3,172282,Kasa Smart,39.97,98.89,13.602418990802082
B07H9RYVZ4,172282,Amazon Basics,50.56,234.61,15.687496741890511
B082FJXVW6,172282,POWSAV,7.99,13.99,2.09808929700927
B09TN4MP6V,172282,Jxrev,16.17,21.99,2.7464403677992983
B09VMJM5RD,172282,VELCRO Brand,7.76,15.73,0.9014466891333646
B0BW34LCB8,172282,Sonos,149.0,249.0,29.037979214711235
B076JJ3N1T,172282,Philips,5.83,12.48,1.1905953512411587
B07F1FXPH1,172282,Skar Audio,135.99,152.99,7.357270025099131
B07TMH18YG,172282,DS18,25.48,41.95,3.670186771473627
B0BX4P4MT3,172282,Panasonic,64.92,123.99,8.396859369521394
B0DVH6N98L,172282,JBL,18.95,29.95,1.2784713093725995
B075WWSMFN,172282,KODAK,46.24,79.99,7.375149425393788
B0BZV4QFP8,172282,Soundcore,56.99,99.99,15.265916821218402
B0CT9PYXGY,172282,JBL,19.95,25.34,1.9813453672405816
B0D6RQGFGG,172282,Bose,199.0,299.0,38.768407289717814
B0FHKDC59F,172282,LG,84.99,99.99,5.789599208926297
B0042T6TJG,172282,Gardner Bender,28.76,89.99,11.620371379235543
B0093162RM,172282,Philips,75.0,199.99,17.70575325463828
B07YP9FBMM,172282,NVIDIA,149.99,283.31,7.713454955351721
B0822DDMQY,172282,WILLBOND,13.59,23.22,3.366731435020553
B083BT3VXZ,172282,PALOVUE,20.99,24.0,1.0601451027519253
B094NC89P9,172282,RORSOU,12.74,19.42,0.8917880689939734
B0BNVNVQJ4,172282,seasonlife,36.09,45.79,3.962388011035767
B0DFJ2V9MM,172282,GoPro,299.99,479.99,45.25807443196658
B07ZSDND57,172282,MOUNTUP,17.44,21.99,1.6249307677559672
B0828BJGD2,172282,Apple,142.97,258.0,7.00190525115986
B0D2PNH494,172282,Hisense,174.0,999.99,119.31420175761052
B0DDM7PFLW,172282,Garmin,89.99,149.99,15.568199040549928
B0GN4D9JSY,172282,Apple,1791.0,1844.99,14.141393633192203
B0GRG87QGF,172282,Hisense,2499.99,3999.99,707.1067811865476
B0GRGFQJHR,172282,Hisense,1299.99,1999.99,350.0
B0GRGHYNDZ,172282,Hisense,999.99,1499.99,250.0
B0GRGQ5YSM,172282,Hisense,1999.99,2499.99,235.70226039551574
B0GRGTZKHT,172282,Hisense,799.99,1299.99,250.0
B08J9MVB6W,172282,Sennheiser,132.31,279.95,31.03315650148228
B0CY6S748H,172282,Sonos,134.0,179.0,17.03800408903934
B0D9R4GYTN,172282,Sony,37.98,69.99,6.663423637579969
B0DCJRW7BB,172282,BuonaIdea,39.97,91.2,10.268049072634685
B0DGVQZVR7,172282,Apple,338.0,508.0,38.00088551732706
B0DWCMP1ZV,172282,Skullcandy,6.99,14.99,2.4414996782123355
B0G6J6YNV9,172282,Sony,298.0,329.99,14.698300071777007
B016P0BVH4,172282,KontrolFreek,14.99,25.12,3.261750126678758
B06XTX2S2N,172282,Sony,35.62,98.0,5.1205747942225495
B0FW4H14LB,172282,TOZO,49.99,79.99,12.472191289246469
